TIPO DE INSTITUTO;NIVEL DE FORMACION;CAMPO AMPLIO;CAMPO ESPECIFICO;CAMPO DETALLADO;NOMBRE DEL PROGRAMA
publica;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;administracion de empresas
publica;universitario;arte y humanidades;humanidades (excepto idiomas);historia y arqueologia;antropologia
publica;universitario;ingenieria, industria y construccion;arquitectura y construccion;arquitectura y urbanismo;arquitectura
publica;universitario;arte y humanidades;artes;bellas artes;artes plasticas
publica;universitario;ciencias naturales, matematicas y estadistica;ciencias biologicas y afines;biologia;biologia
publica;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;ciencias politicas y educacion civica;ciencia politica
publica;universitario;ciencias naturales, matematicas y estadistica;matematicas y estadistica;matematicas;ciencias de la computacion
publica;universitario;arte y humanidades;artes;tecnicas audiovisuales y produccion para medios de comunicacion;cine y television
publica;universitario;administracion de empresas y derecho;educacion comercial y administracion;contabilidad e impuestos;contaduria publica
publica;universitario;administracion de empresas y derecho;derecho;derecho;derecho
publica;universitario;arte y humanidades;artes;artes no clasificadas en otra parte;diseno grafico
publica;universitario;arte y humanidades;artes;diseno industrial, de moda e interiores;diseno industrial
publica;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;economia;economia
publica;universitario;salud y bienestar;salud;enfermeria y parteria;enfermeria
publica;universitario;arte y humanidades;idiomas;idiomas no clasificados en otra parte;espanol y filologia clasica
publica;universitario;ciencias naturales, matematicas y estadistica;matematicas y estadistica;estadistica;estadistica
publica;universitario;arte y humanidades;idiomas;literatura y linguistica;estudios literarios
publica;universitario;salud y bienestar;salud;farmacia;farmacia
publica;universitario;arte y humanidades;idiomas;adquisicion del lenguaje;filologia e idiomas
publica;universitario;arte y humanidades;humanidades (excepto idiomas);filosofia y etica;filosofia
publica;universitario;ciencias naturales, matematicas y estadistica;ciencias fisicas;fisica;fisica
publica;universitario;salud y bienestar;salud;fisioterapia, fonoaudiologia, terapia ocupacional, nutricion y afines;fisioterapia
publica;universitario;salud y bienestar;salud;fisioterapia, fonoaudiologia, terapia ocupacional, nutricion y afines;fonoaudiologia
publica;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;ciencias sociales y del comportamiento no clasificadas en otra parte;geografia
publica;universitario;ciencias naturales, matematicas y estadistica;ciencias fisicas;ciencias de la tierra;geologia
publica;universitario;arte y humanidades;humanidades (excepto idiomas);historia y arqueologia;historia
publica;universitario;agropecuario, silvicultura, pesca y veterinaria;agropecuario;produccion agricola y ganadera;ingenieria agricola
publica;universitario;agropecuario, silvicultura, pesca y veterinaria;agropecuario;produccion agricola y ganadera;ingenieria agronomica
publica;universitario;ingenieria, industria y construccion;arquitectura y construccion;construccion e ingenieria civil;ingenieria civil
publica;universitario;tecnologias de la informacion y la comunicacion tic;programas y certificaciones interdisciplinarios relativos a tecnologias de la informacion y la comunicacion tic;programas y certificaciones interdisciplinarios relativos a tecnologias de la informacion y la comunicacion (tic);ingenieria de sistemas y computacion
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;electricidad y energia;ingenieria electrica
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;ingenieria electronica
publica;universitario;ingenieria, industria y construccion;industria y procesamiento;industria y procesamiento no clasificados en otra parte;ingenieria industrial
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;mecanica y profesiones afines a la metalisteria;ingenieria mecanica
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;ingenieria mecatronica
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y procesos quimicos;ingenieria quimica
publica;universitario;arte y humanidades;idiomas;literatura y linguistica;linguistica
publica;universitario;ciencias naturales, matematicas y estadistica;matematicas y estadistica;matematicas;matematicas
publica;universitario;salud y bienestar;salud;medicina;medicina
publica;universitario;agropecuario, silvicultura, pesca y veterinaria;veterinaria;veterinaria;medicina veterinaria
publica;universitario;arte y humanidades;artes;musica y artes escenicas;musica
publica;universitario;arte y humanidades;artes;musica y artes escenicas;musica instrumental
publica;universitario;salud y bienestar;salud;fisioterapia, fonoaudiologia, terapia ocupacional, nutricion y afines;nutricion y dietetica
publica;universitario;salud y bienestar;salud;odontologia y estudios dentales;odontologia
publica;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;psicologia;psicologia
publica;universitario;ciencias naturales, matematicas y estadistica;ciencias fisicas;quimica;quimica
publica;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;sociologia, antropologia y estudios culturales;sociologia
publica;universitario;salud y bienestar;salud;fisioterapia, fonoaudiologia, terapia ocupacional, nutricion y afines;terapia ocupacional
publica;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;trabajo social;trabajo social
publica;universitario;agropecuario, silvicultura, pesca y veterinaria;agropecuario;produccion agricola y ganadera;zootecnia
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en artes visuales
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en biologia
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en ciencias naturales y educacion ambiental
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en ciencias sociales
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en diseno tecnologico
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en educacion basica primaria
publica;universitario;educacion;educacion;formacion para docentes sin asignatura de especializacion;licenciatura en educacion especial
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en educacion infantil
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en electronica
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en espanol e ingles
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en espanol y lenguas extranjeras
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en filosofia
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en fisica
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en matematicas
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en quimica
publica;universitario;educacion;educacion;formacion para docentes sin asignatura de especializacion;licenciatura en recreacion
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en tecnologia
publica;universitario;educacion;educacion;ciencias de la educacion;pedagogia
publica;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;administracion de riesgos, seguridad y salud en el trabajo
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;ingenieria en mecatronica
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;ingenieria en multimedia
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;ingenieria en telecomunicaciones
publica;universitario;educacion;programas y certificaciones interdisciplinarios relativos a educacion;programas y certificaciones interdisciplinarios relativos a educacion;licenciatura en humanidades y educacion para la paz
publica;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;ciencias politicas y educacion civica;relaciones internacionales y estudios politicos
publica;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;tecnologia en electronica y comunicaciones
publica;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;administracion de empresas comerciales
publica;universitario;salud y bienestar;salud;tecnologia de diagnostico y tratamiento medico;bacteriologia y laboratorio clinico
publica;universitario;ingenieria, industria y construccion;arquitectura y construccion;arquitectura y urbanismo;construccion y gestion en arquitectura
publica;universitario;arte y humanidades;artes;tecnicas audiovisuales y produccion para medios de comunicacion;diseno digital y multimedia
publica;universitario;ciencias naturales, matematicas y estadistica;matematicas y estadistica;matematicas;matematica aplicada
publica;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnologia en asistencia gerencial
publica;tecnologico;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;sociologia, antropologia y estudios culturales;tecnologia en atencion integral a la persona mayor
publica;tecnologico;ingenieria, industria y construccion;arquitectura y construccion;construccion e ingenieria civil;tecnologia en delineantes de arquitectura e ingenieria
publica;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnologia en gestion de negocios
publica;tecnologico;ingenieria, industria y construccion;arquitectura y construccion;construccion e ingenieria civil;tecnologia en gestion y ejecucion de construcciones
publica;tecnologico;ciencias naturales, matematicas y estadistica;programas y certificaciones interdisciplinarios relativos a ciencias naturales, matematicas y estadistica;programas y certificaciones interdisciplinarios relativos a ciencias naturales, matematicas y estadistica;tecnologia en procesos quimicos ambientales
publica;universitario;ciencias sociales, periodismo e informacion;programas y certificaciones interdisciplinarios relativos a ciencias sociales, periodismo e informacion;programas y certificaciones interdisciplinarios relativos a ciencias sociales, periodismo e informacion;turismo
publica;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;administracion ambiental
publica;universitario;administracion de empresas y derecho;educacion comercial y administracion;educacion comercial y administracion no clasificados en otra parte;administracion deportiva
publica;universitario;ciencias sociales, periodismo e informacion;periodismo e informacion;bibliotecologia, informacion y archivologia;archivistica y gestion de la informacion digital
publica;universitario;arte y humanidades;artes;bellas artes;arte danzario
publica;universitario;arte y humanidades;artes;musica y artes escenicas;artes escenicas
publica;universitario;arte y humanidades;artes;musica y artes escenicas;artes musicales
publica;universitario;arte y humanidades;artes;bellas artes;artes plasticas y visuales
publica;universitario;ciencias sociales, periodismo e informacion;periodismo e informacion;periodismo, comunicacion y reportajes;comunicacion social y periodismo
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;ingenieria ambiental
publica;universitario;ingenieria, industria y construccion;arquitectura y construccion;construccion e ingenieria civil;ingenieria catastral y geodesia
publica;universitario;ingenieria, industria y construccion;arquitectura y construccion;construccion e ingenieria civil;ingenieria civil articulado por ciclos propedeuticos con el programa de tecnologia en construcciones civiles
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;ingenieria de produccion
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;ingenieria de sistemas
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;ingenieria en control y automatizacion
publica;universitario;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;desarrollo y analisis de software y aplicaciones;ingenieria en telematica
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;ingenieria forestal
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;ingenieria sanitaria
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;ingenieria topografica
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en educacion artistica
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en humanidades y lengua castellana
publica;universitario;educacion;educacion;ciencias de la educacion;licenciatura en lenguas extranjeras con enfasis en ingles
publica;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnologia en administracion deportiva
publica;tecnologico;ingenieria, industria y construccion;arquitectura y construccion;construccion e ingenieria civil;tecnologia en construcciones civiles
publica;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;electricidad y energia;tecnologia en electricidad de media y baja tension
publica;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;tecnologia en electronica industrial
publica;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;tecnologia en gestion ambiental y servicios publicos
publica;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;tecnologia en gestion de la produccion industrial
publica;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;tecnologia en levantamientos topograficos
publica;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;mecanica y profesiones afines a la metalisteria;tecnologia en mecanica industrial
publica;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;tecnologia de proteccion del medio ambiente;tecnologia en saneamiento ambiental
publica;tecnologico;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;diseno y administracion de redes y bases de datos;tecnologia en sistematizacion de datos
privado;universitario;arte y humanidades;artes;bellas artes;artes visuales
privado;universitario;salud y bienestar;salud;tecnologia de diagnostico y tratamiento medico;bacteriologia
privado;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;tecnologia de proteccion del medio ambiente;bioingenieria
privado;universitario;ciencias naturales, matematicas y estadistica;matematicas y estadistica;matematicas;ciencia de datos
privado;universitario;ciencias sociales, periodismo e informacion;periodismo e informacion;bibliotecologia, informacion y archivologia;ciencia de la informacion, bibliotecologia y archivistica
privado;universitario;ciencias sociales, periodismo e informacion;periodismo e informacion;periodismo, comunicacion y reportajes;comunicacion social
privado;universitario;ciencias naturales, matematicas y estadistica;medio ambiente;ciencias del medio ambiente;ecologia
privado;universitario;arte y humanidades;artes;musica y artes escenicas;estudios musicales
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion financiera, administracion bancaria y seguros;finanzas
privado;universitario;ciencias naturales, matematicas y estadistica;matematicas y estadistica;matematicas;informatica matematica
privado;universitario;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;diseno y administracion de redes y bases de datos;ingenieria en redes y telecomunicaciones
privado;universitario;educacion;educacion;ciencias de la educacion;licenciatura en educacion fisica
privado;universitario;educacion;educacion;ciencias de la educacion;licenciatura en lenguas modernas con enfasis en ingles y frances
privado;universitario;educacion;educacion;ciencias de la educacion;licenciatura en literatura y lengua castellana
privado;universitario;educacion;educacion;ciencias de la educacion;licenciatura en teologia
privado;universitario;ciencias naturales, matematicas y estadistica;ciencias biologicas y afines;biologia;microbiologia industrial
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;negocios internacionales
privado;universitario;salud y bienestar;salud;farmacia;quimica farmaceutica
privado;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;ciencias politicas y educacion civica;relaciones internacionales
privado;universitario;arte y humanidades;humanidades (excepto idiomas);filosofia y etica;teologia
privado;universitario;salud y bienestar;programas y certificaciones interdisciplinarios relativos a salud y bienestar;programas y certificaciones interdisciplinarios relativos a salud y bienestar;cultura fisica y deporte
privado;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;ingenieria de alimentos
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;administracion ambiental y de los recursos naturales
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;administracion de empresas agropecuarias
privado;universitario;educacion;programas y certificaciones interdisciplinarios relativos a educacion;programas y certificaciones interdisciplinarios relativos a educacion;ciencias cognitivas en contextos educativos
privado;universitario;educacion;programas y certificaciones interdisciplinarios relativos a educacion;programas y certificaciones interdisciplinarios relativos a educacion;comunicacion y educacion digital
privado;universitario;ingenieria, industria y construccion;arquitectura y construccion;construccion e ingenieria civil;construccion en arquitectura e ingenieria
privado;universitario;salud y bienestar;programas y certificaciones interdisciplinarios relativos a salud y bienestar;programas y certificaciones interdisciplinarios relativos a salud y bienestar;cultura fisica, deporte y recreacion
privado;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;ciencias politicas y educacion civica;gobierno y relaciones internacionales
privado;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;ingenieria de telecomunicaciones
privado;universitario;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;uso de computadores;ingenieria en informatica
privado;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;ingenieria en logistica y operaciones
privado;universitario;educacion;educacion;ciencias de la educacion;licenciatura en artes plasticas
privado;universitario;educacion;educacion;ciencias de la educacion;licenciatura en educacion religiosa
privado;universitario;educacion;educacion;ciencias de la educacion;licenciatura en filosofia y letras
privado;universitario;educacion;educacion;formacion para docentes sin asignatura de especializacion;licenciatura en lenguas extranjeras ingles
privado;universitario;educacion;educacion;formacion para docentes sin asignatura de especializacion;licenciatura en tecnologia e informatica
privado;universitario;educacion;programas y certificaciones interdisciplinarios relativos a educacion;programas y certificaciones interdisciplinarios relativos a educacion;maestria en educacion sostenible y gestion ambiental territorial
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;mercadotecnia y publicidad;mercadeo
privado;universitario;educacion;programas y certificaciones interdisciplinarios relativos a educacion;programas y certificaciones interdisciplinarios relativos a educacion;profesional en innovacion educativa
privado;universitario;arte y humanidades;artes;diseno industrial, de moda e interiores;profesional en moda
privado;formacion tecnica profesional;servicios;servicios personales;deportes;tecnico profesional en ejercicio y acondicionamiento fisico
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;administracion de empresas turisticas y hoteleras
privado;universitario;arte y humanidades;humanidades (excepto idiomas);historia y arqueologia;arqueologia
privado;universitario;arte y humanidades;artes;bellas artes;conservacion y restauracion de patrimonio cultural mueble
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion financiera, administracion bancaria y seguros;finanzas y relaciones internacionales
privado;universitario;agropecuario, silvicultura, pesca y veterinaria;agropecuario;produccion agricola y ganadera;agroecologia
privado;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;economia;banca y finanzas
privado;universitario;ciencias naturales, matematicas y estadistica;ciencias biologicas y afines;biologia;biologia ambiental
privado;universitario;ciencias naturales, matematicas y estadistica;ciencias biologicas y afines;biologia;biologia marina
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;ciencia politica e innovacion publica
privado;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;economia;comercio internacional y finanzas
privado;universitario;arte y humanidades;artes;diseno industrial, de moda e interiores;diseno interactivo
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;diseno y gestion de la moda
privado;universitario;arte y humanidades;idiomas;literatura y linguistica;estudios literarios y edicion
privado;universitario;arte y humanidades;artes;bellas artes;fotografia
privado;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;ciencias politicas y educacion civica;historia del arte
privado;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;ingenieria en automatizacion
privado;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;electricidad y energia;ingenieria en energia
privado;universitario;ciencias naturales, matematicas y estadistica;matematicas y estadistica;matematicas;modelado y simulacion computacional
privado;universitario;arte y humanidades;artes;bellas artes;publicidad
privado;universitario;arte y humanidades;artes;tecnicas audiovisuales y produccion para medios de comunicacion;realizacion en animacion
privado;tecnologico;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;economia;tecnologia en comercio internacional
privado;tecnologico;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion  y la comunicacion (tic) no clasificada en otra parte;tecnologia en creacion y produccion transmedia
privado;tecnologico;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;diseno y administracion de redes y bases de datos;tecnologia en gestion de bases de datos
privado;tecnologico;arte y humanidades;artes;tecnicas audiovisuales y produccion para medios de comunicacion;tecnologia en produccion de imagen fotografica
privado;tecnologico;arte y humanidades;artes;bellas artes;tecnologia en realizacion de audiovisuales y multimedia
privado;universitario;arte y humanidades;artes;tecnicas audiovisuales y produccion para medios de comunicacion;cine
privado;universitario;arte y humanidades;idiomas;literatura y linguistica;creacion literaria
privado;universitario;arte y humanidades;artes;tecnicas audiovisuales y produccion para medios de comunicacion;diseno de experiencias interactivas
privado;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;economia;economia y finanzas
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;mercadotecnia y publicidad;marketing
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;administracion de negocios digitales
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;administracion de negocios internacionales
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;ventas al por mayor y al por menor;administracion en logistica y produccion
privado;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;economia;analitica de datos y mercados
privado;universitario;arte y humanidades;artes;bellas artes;artes
privado;universitario;arte y humanidades;artes;artes no clasificadas en otra parte;artes liberales en ciencias sociales
privado;universitario;ciencias naturales, matematicas y estadistica;ciencias biologicas y afines;bioquimica;biotecnologia
privado;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;ciencias politicas y educacion civica;ciencia politica y gobierno
privado;universitario;ciencias naturales, matematicas y estadistica;medio ambiente;ciencias del medio ambiente;ciencias del sistema tierra
privado;universitario;arte y humanidades;artes;bellas artes;creacion
privado;universitario;arte y humanidades;artes;bellas artes;diseno
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;esports management
privado;universitario;ingenieria, industria y construccion;arquitectura y construccion;arquitectura y urbanismo;gestion y desarrollo urbanos
privado;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;electricidad y energia;ingenieria de sistemas energeticos
privado;universitario;administracion de empresas y derecho;derecho;derecho;jurisprudencia
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;mercadotecnia y publicidad;marketing y negocios digitales
privado;universitario;ciencias naturales, matematicas y estadistica;matematicas y estadistica;matematicas;matematicas aplicadas y ciencias de la computacion
privado;universitario;ciencias sociales, periodismo e informacion;periodismo e informacion;periodismo, comunicacion y reportajes;periodismo y opinion publica
privado;universitario;administracion de empresas y derecho;derecho;derecho;criminologia e investigacion criminal
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;emprendimiento
privado;universitario;arte y humanidades;artes;musica y artes escenicas;teatro musical
privado;universitario;ciencias naturales, matematicas y estadistica;matematicas y estadistica;estadistica;estadistica y ciencias actuariales
privado;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;ingenieria de petroleos
privado;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y procesos quimicos;ingenieria en energias
privado;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;vehiculos, barcos y aeronaves de motor;ingenieria aeronautica
privado;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;ingenieria de sonido
privado;universitario;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;uso de computadores;ingenieria multimedia
privado;universitario;arte y humanidades;idiomas;adquisicion del lenguaje;profesional en lengua inglesa
privado;universitario;arte y humanidades;humanidades (excepto idiomas);religion y teologia;profesional en teologia
privado;formacion tecnica profesional;educacion;educacion;ciencias de la educacion;tecnico profesional en cuidado y desarrollo de la primera infancia
privado;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;tecnologia en automatizacion industrial
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;contabilidad e impuestos;tecnologia en contabilidad y finanzas internacionales
privado;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;tecnologia en desarrollo de sistemas electronicos y de telecomunicaciones
privado;tecnologico;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;desarrollo y analisis de software y aplicaciones;tecnologia en desarrollo de software
privado;tecnologico;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;uso de computadores;tecnologia en produccion de audio para medios audiovisuales
privado;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;ingenieria electronica y telecomunicaciones
privado;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;ingenieria electromecanica
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;administracion de empresas y transformacion digital
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;educacion comercial y administracion no clasificados en otra parte;administracion de negocios
privado;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;ciencias de la computacion e inteligencia artificial
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;comercio internacional y logistica empresarial
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;contabilidad e impuestos;contaduria digital tech
privado;universitario;arte y humanidades;artes;bellas artes;diseno digital
privado;universitario;arte y humanidades;humanidades (excepto idiomas);filosofia y etica;filosofia y humanidades
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion financiera, administracion bancaria y seguros;finanzas, fintech y comercio exterior
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion financiera, administracion bancaria y seguros;finanzas internacionales
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;gestion deportiva
privado;universitario;administracion de empresas y derecho;derecho;derecho;investigacion criminal
privado;universitario;educacion;educacion;ciencias de la educacion;licenciatura digital en humanidades clasicas y lengua castellana
privado;universitario;educacion;educacion;ciencias de la educacion;licenciatura en pedagogia digital para la primera infancia
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;logistica empresarial
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;mercadotecnia y publicidad;marketing integral y negocios globales
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;educacion comercial y administracion no clasificados en otra parte;negocios, emprendimiento e innovacion
privado;universitario;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;ciencias politicas y educacion civica;politica y relaciones internacionales
privado;universitario;arte y humanidades;artes;bellas artes;publicidad internacional
privado;tecnologico;agropecuario, silvicultura, pesca y veterinaria;programas y certificaciones interdisciplinarias relativos a agropecuario, silvicultura, pesca y veterinaria;programas y certificaciones interdisciplinarias relativos a agropecuario, silvicultura, pesca y veterinaria;tecnologia en administracion agropecuaria
privado;tecnologico;administracion de empresas y derecho;derecho;derecho;tecnologia en criminalistica
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnologia en direccion tecnica de futbol
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;mercadotecnia y publicidad;tecnologia en publicidad digital
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;administracion de negocios sostenibles
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;administracion de produccion y logistica internacional
privado;universitario;arte y humanidades;artes;musica y artes escenicas;arte dramatico
privado;universitario;arte y humanidades;artes;tecnicas audiovisuales y produccion para medios de comunicacion;creacion digital
privado;universitario;arte y humanidades;artes;diseno industrial, de moda e interiores;diseno de comunicacion
privado;universitario;arte y humanidades;artes;musica y artes escenicas;formacion musical
privado;universitario;salud y bienestar;salud;salud no clasificada en otra parte;instrumentacion quirurgica
privado;universitario;arte y humanidades;idiomas;adquisicion del lenguaje;interprete profesional de la lengua de senas colombiana
privado;universitario;educacion;educacion;ciencias de la educacion;licenciatura en bilinguismo con enfasis en ingles y espanol
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;mercadotecnia y publicidad;marketing y transformacion digital
privado;universitario;ciencias naturales, matematicas y estadistica;matematicas y estadistica;matematicas;matematicas y ciencia de datos
privado;universitario;salud y bienestar;salud;salud no clasificada en otra parte;optometria
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;administracion logistica
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;administracion turistica y hotelera
