TIPO DE INSTITUTO;NIVEL DE FORMACION;CAMPO AMPLIO;CAMPO ESPECIFICO;CAMPO DETALLADO;NOMBRE DEL PROGRAMA
privado;tecnologico;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion  y la comunicacion (tic) no clasificada en otra parte;tecnologia en creacion de contenidos visuales y multimediales
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;contabilidad e impuestos;tecnologia en gestion contable y tributaria
privado;tecnologico;ingenieria, industria y construccion;industria y procesamiento;produccion textiles (ropa, calzado y articulos de cuero);tecnologia en gestion de seguridad y salud en el trabajo
privado;tecnologico;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;diseno y administracion de redes y bases de datos;tecnologia en gestion de sistemas informaticos
privado;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;tecnologia en gestion de sistemas mecatronicos industriales
privado;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;tecnologia en gestion de software y redes
privado;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;tecnologia en procesos industriales de mecatronica
privado;tecnologico;arte y humanidades;artes;tecnicas audiovisuales y produccion para medios de comunicacion;tecnologia en realizacion visual y audiovisual
privado;tecnologico;arte y humanidades;artes;tecnicas audiovisuales y produccion para medios de comunicacion;tecnologia en television
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnologia en gestion de comercio internacional y finanzas
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;mercadotecnia y publicidad;tecnologia en produccion grafica para medios publicitarios
privado;tecnologico;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;desarrollo y analisis de software y aplicaciones;tecnologia en sistemas informaticos
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;contabilidad e impuestos;tecnologia en gestion contable financiera
privado;tecnologico;administracion de empresas y derecho;derecho;derecho;tecnologia en gestion de la investigacion judicial y criminalistica
privado;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y procesos quimicos;tecnologia en gestion de procesos de produccion industrial
privado;tecnologico;arte y humanidades;artes;bellas artes;tecnologia en gestion del diseno grafico
privado;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y procesos quimicos;tecnologia en procesos de produccion industrial
publica;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;ingenieria de procesos industriales
publica;formacion tecnica profesional;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;uso de computadores;tecnica profesional en computacion
publica;formacion tecnica profesional;ingenieria, industria y construccion;ingenieria y profesiones afines;mecanica y profesiones afines a la metalisteria;tecnica profesional en dibujo mecanico y de herramientas industriales
publica;formacion tecnica profesional;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;tecnica profesional en electronica industrial
publica;formacion tecnica profesional;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;tecnica profesional en mantenimiento industrial
publica;formacion tecnica profesional;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;tecnica profesional en procesos de manufactura
publica;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;mecanica y profesiones afines a la metalisteria;tecnologia en gestion de fabricacion mecanica
